FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,73032.00,73032
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,70908.00,141816
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,61464.00,122928
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,64200.00,64200
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,59676.00,59676
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,116712.00,116712
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9854,Communications Director,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,103488.00,103488
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,92880.00,92880
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,94692.00,94692
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,87000.00,87000
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,128808.00,128808
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,0925,Photographer,Annual,1,1,100452.00,100452
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,3 00,10,0924,Photographer and Creative Director,Annual,1,1,100452.00,100452
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,0744,Press Aide II,Annual,2,1,80328.00,160656
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3015,Office of the Press Secretary,0,,1 00,9,0740,Press Aide,Annual,2,1,74592.00,149184
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3100,Office of the Chief Financial Officer,0,,1 00,9,9896,Chief Financial Officer,Annual,1,1,195036.00,195036
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,142272.00,142272
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9877,Director - Mayor's Office,Annual,2,1,100476.00,200952
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,105276.00,105276
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,69948.00,69948
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,177840.00,177840
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,136704.00,136704
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,86064.00,86064
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3105,Office of Community Engagement,0,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,79572.00,79572
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,2,1,96768.00,193536
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3110,Office of Infrastructure and Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,147648.00,147648
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,147744.00,147744
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,155616.00,155616
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,140604.00,140604
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,74592.00,74592
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,80328.00,80328
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,108600.00,108600
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,101952.00,101952
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,2,1,102456.00,204912
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3120,Office of Intergovernmental Affairs,0,,3 00,9,9804,Senior Legislative Asst,Annual,1,1,95568.00,95568
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,100476.00,100476
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,1,1,98484.00,98484
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,2,1,87000.00,174000
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3130,Office of Equity and Racial Justice,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,136704.00,136704
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,109848.00,109848
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,87000.00,87000
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,147744.00,147744
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,136704.00,136704
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3135,Office of Business  Economic and Neighborhood Development (BEND),0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,97524.00,97524
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,131952.00,131952
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,2,1,103488.00,206976
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9875,Senior Project Manager - Mayor's Office,Annual,2,1,97536.00,195072
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3140,Office of Community Safety,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,140436.00,140436
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,177840.00,177840
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,1 00,9,9873,Assistant Deputy Chief of Staff,Annual,1,1,142272.00,142272
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,2,1,97536.00,195072
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3145,Office of Policy,0,,3 00,9,9865,Analyst - Mayor's Office,Annual,1,1,87000.00,87000
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189252.00,189252
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,147744.00,147744
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3160,Office of Immigrant  Migrant and Refugee Rights,0,,3 00,9,9866,Senior Analyst - Mayor's Office,Annual,1,1,102456.00,102456
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,123780.00,123780
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3170,Office of Labor Relations,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,115008.00,115008
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0,,1 00,9,9874,Project Manager - Mayor's Office,Annual,1,1,87000.00,87000
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3180,Office of Education and Youth,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Human Services,0,,1 00,9,9877,Director - Mayor's Office,Annual,1,1,122016.00,122016
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Human Services,0,,1 00,9,9872,Deputy Mayor,Annual,1,1,189324.00,189324
LOCAL,1,Office of the Mayor,0100,Corporate Fund,1005,Office of the Mayor,2005,Office of the Mayor,3185,Office of Human Services,0,,1 00,9,9871,Assistant Deputy Mayor,Annual,1,1,136704.00,136704
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,1 00,9,9903,Inspector General,Annual,1,1,195036.00,195036
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,GY 11,20,3051,Senior Equity Officer,Annual,1,1,137016.00,137016
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 13,20,1396,Human Resources Associate - IG,Annual,1,1,61656.00,61656
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 18,10,1307,Manager of Human Resources,Annual,1,1,90660.00,90660
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,GY 04,20,1169,Operations Analyst - IG,Annual,1,1,57732.00,57732
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 16,10,0802,Executive Administrative Assistant II,Annual,1,1,77796.00,77796
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,90660.00,90660
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,10,0790,Public Relations Coordinator,Annual,1,1,86520.00,86520
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,B 15,1,0729,Information Coordinator,Annual,1,1,86640.00,86640
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,PX 02,9,0705,Director of Public Affairs,Annual,1,1,124992.00,124992
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,56172.00,56172
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 13,10,0127,Finance Associate,Annual,1,1,61656.00,61656
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,BX 17,20,0126,Financial Officer,Annual,1,1,82644.00,82644
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3010,Operations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,15613.00,15613
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 32,9,9756,General Counsel,Annual,1,1,170400.00,170400
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 15,10,1611,Case Analyst,Annual,1,1,70872.00,70872
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,GY 09,9,1264,Attorney - IG,Annual,1,1,90444.00,90444
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,GY 12,0,1262,Assistant Inspector General,Annual,3,1,136404.00,409212
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,GY 12,0,1262,Assistant Inspector General,Annual,3,1,123060.00,369180
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,56172.00,56172
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,2,1,53664.00,107328
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,BX 12,10,1230,Complaint Intake Specialist - IGO,Annual,1,1,51180.00,51180
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 33,0,1215,Chief Assistant Inspector General,Annual,1,1,142536.00,142536
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,X 33,0,1202,Associate General Counsel - IG,Annual,3,1,148920.00,446760
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3015,Legal,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,48966.00,48966
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,X 32,9,9659,Deputy Inspector General,Annual,1,1,163068.00,163068
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,X 33,0,1260,Chief Investigator - IG,Annual,1,1,142536.00,142536
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,X 33,0,1260,Chief Investigator - IG,Annual,1,1,133524.00,133524
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 09,0,1222,Investigator III - IG,Annual,2,1,118992.00,237984
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 09,0,1222,Investigator III - IG,Annual,1,1,103176.00,103176
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 09,0,1222,Investigator III - IG,Annual,1,1,94500.00,94500
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,94500.00,94500
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,90444.00,90444
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 08,0,1221,Investigator II - IG,Annual,1,1,86520.00,86520
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,77400.00,77400
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,2,1,70272.00,140544
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,66852.00,66852
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3020,Investigations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,31327.00,31327
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,98664.00,98664
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,1,1,94500.00,94500
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,90444.00,90444
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,GY 07,20,1125,Performance Analyst,Annual,1,1,80472.00,80472
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3027,Audit and Program Review,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6274.00,6274
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,X 32,9,9659,Deputy Inspector General,Annual,1,1,170400.00,170400
LOCAL,3,Office of Inspector General,0100,Corporate Fund,1005,Office of Inspector General,2005,Office of Inspector General,3032,Public Safety Audit,0,,GY 08,20,1289,Investigative Analyst,Annual,2,1,90444.00,180888
